headline,publisher,date,stock,clean_text,label,confidence,label_adjusted
"JPMorgan assumes, Chinese internet stocks move",Seeking Alpha,8/29/2018 0:00,SINA,jpmorgan assumes chinese internet stocks move,negative,0.998607695,negative
"RE/MAX Holdings, Inc. 2016 Q4 - Results - Earnings Call Slides",Seeking Alpha,2/24/2017 0:00,RMAX,max holdings inc results earnings call slides,negative,0.999901175,negative
How To Retire Early And Be Financially Independent,Seeking Alpha,7/5/2016 0:00,NWN,retire early financially independent,neutral,0.759949327,neutral
Crown Castle Remains in Neutral Lane - Analyst Blog,Zacks,4/23/2013 0:00,CCI,crown castle remains neutral lane analyst blog,negative,0.982181191,negative
Ford India Sales Rise 36% in June - Analyst Blog,Zacks,7/2/2014 0:00,THRM,ford india sales rise june analyst blog,neutral,0.999999762,neutral
"Technology, clean energy policies on agenda at Marine Money confab",Seeking Alpha,6/18/2019 0:00,DHT,technology clean energy policies agenda marine money confab,negative,0.999864936,negative
Yen Buoyed As Inflation Tops Estimates,Seeking Alpha,7/27/2018 0:00,EWJ,yen buoyed inflation tops estimates,neutral,0.999999881,positive
EOG Resources' Rocky Rockies Climb As It Stumbles In U.K.,Seeking Alpha,8/23/2016 0:00,EOG,eog resources rocky rockies climb stumbles,positive,0.999533057,positive
Low Expense Aid Marsh & McLennan Earnings - Analyst Blog,Zacks,5/2/2013 0:00,MMC,low expense aid marsh mclennan earnings analyst blog,negative,0.994393587,negative
Notable earnings before Wednesday's open,Seeking Alpha,10/1/2019 0:00,LEN,notable earnings wednesday open,negative,0.999982119,negative
VXX: VIX Gearing Up To Surge,Seeking Alpha,12/6/2017 0:00,XIV,vxx vix gearing surge,neutral,0.999999881,neutral
"Professional Advisory Services Inc Buys MSC Industrial Direct Co Inc, CDW Corp, Kellogg Co, ...",GuruFocus,1/23/2020 0:00,K,professional advisory services inc buys msc industrial direct inc cdw corp kellogg,negative,0.999972224,negative
FirstEnergy Affirms Ohio Plant Sale - Analyst Blog,webmaster,3/15/2011 0:00,D,firstenergy affirms ohio plant sale analyst blog,negative,0.999296546,negative
"Shaw Communications (SJR) Beats on Q4 Earnings, Revenues Lag",Zacks,10/27/2017 0:00,BCE,shaw communications sjr beats earnings revenues lag,neutral,0.999999762,positive
Stock Market Extends Advance; Dow Scores Fifth Up In A Row,Investor's Business Daily,3/17/2016 0:00,OLED,stock market extends advance dow scores fifth row,neutral,0.996291161,neutral
Franklin Universal Trust declares $0.032 dividend,Seeking Alpha,12/20/2018 0:00,FT,franklin universal trust declares dividend,negative,0.999420524,negative
"Stein Mart: Rising Revs, Cratering Price And Favorable Secular Trends",Seeking Alpha,12/30/2015 0:00,TJX,stein mart rising revs cratering price favorable secular trends,neutral,1,neutral
CB Richard Ellis: Real Estate Movers,webmaster,7/28/2010 0:00,CBG,richard ellis real estate movers,negative,0.994216919,negative
Non-U.S. Bank Stocks Clear Winners After ECB Rate Cut,Investor's Business Daily,6/6/2014 0:00,NBG,non bank stocks clear winners ecb rate cut,neutral,0.999874353,neutral
Aegion Sells 50% Stake in German JV - Analyst Blog,Zacks,6/27/2013 0:00,EME,aegion sells stake german analyst blog,negative,0.999448717,negative
Is it the Right Time to Hold Intercontinental Exchange (ICE)?,Zacks,12/14/2016 0:00,RM,right time hold intercontinental exchange ice,negative,0.998432815,negative
"'6– Capital Llc Buys WellCare Health Plans Inc, Lamb Weston Holdings Inc, Graco Inc, Sells ...",GuruFocus,8/14/2018 0:00,WCG,capital llc buys wellcare health plans inc lamb weston holdings inc graco inc sells,negative,0.999990702,negative
TG Therapeutics (TGTX) in Focus: Stock Gains 16.1% - Tale of the Tape,Zacks,9/18/2014 0:00,TGTX,therapeutics tgtx focus stock gains tale tape,neutral,0.999991179,neutral
Sallie Mae Tops Zacks Estimate - Analyst Blog,webmaster,4/21/2011 0:00,SLM,sallie mae tops zacks estimate analyst blog,negative,0.9998914,negative
"AllianceBernstein Global High Income Fund, Inc. ...",GuruFocus,3/19/2020 0:00,AFB,alliancebernstein global high income fund inc,negative,0.999767959,negative
What Do You Do After A 150% Gain In Minerva Neurosciences?,Seeking Alpha,1/7/2015 0:00,NERV,gain minerva neurosciences,negative,0.978290021,negative
After Hours Gainers / Losers,Seeking Alpha,9/4/2015 0:00,MNKD,hours gainers losers,negative,0.99595511,negative
"Equity Lifestyle Properties FFO in-line, misses on revenue",Seeking Alpha,1/29/2018 0:00,ELS,equity lifestyle properties ffo line misses revenue,positive,0.999834418,positive
Baby Bonds Complete Review,Seeking Alpha,9/19/2018 0:00,PGX,baby bonds complete review,negative,0.999858975,negative
"Spark Networks Acquires Smooch Labs, Owner of the JSwipe Mobile Application",GuruFocus,10/14/2015 0:00,LOV,spark networks acquires smooch labs owner jswipe mobile application,negative,0.99940443,negative
Rush to complete an ambitious infrastructure plan in India,Seeking Alpha,4/3/2018 0:00,INDY,rush complete ambitious infrastructure plan india,negative,0.900755882,negative
"Week In Review - May 1, 2015",Seeking Alpha,5/2/2015 0:00,CYOU,week review may,negative,0.999997616,negative
"Randolph Co Inc Buys Rio Tinto PLC, JM Smucker Co, CVS Health Corp, Sells Procter & Gamble ...",GuruFocus,4/13/2018 0:00,SJM,randolph inc buys rio tinto plc smucker cvs health corp sells procter gamble,negative,0.999984145,negative
Dividend Aristocrat Correlation Pairs,Seeking Alpha,8/28/2016 0:00,PNR,dividend aristocrat correlation pairs,negative,0.999993563,negative
Jefferies warns on elevated chicken production,Seeking Alpha,1/2/2018 0:00,TSN,jefferies warns elevated chicken production,positive,0.999998927,positive
Textainer Group Holdings bounces off of 52-week lows,Seeking Alpha,9/24/2015 0:00,TGH,textainer group holdings bounces week lows,negative,0.947310209,negative
"Georgia Power plans to reduce residential customer bills by approximately $5 per month, ...",GuruFocus,3/9/2020 0:00,SO,georgia power plans reduce residential customer bills approximately per month,negative,0.999954939,negative
High Yield Bonds: 'The Rally',Seeking Alpha,3/24/2016 0:00,DPM,high yield bonds rally,neutral,0.948788166,neutral
Pioneer Natural (PXD) Q2 Earnings Top on Increased Drilling,Zacks,8/2/2017 0:00,PBA,pioneer natural pxd earnings top increased drilling,neutral,0.999985933,neutral
"USD Snaps 3-Month Slide, Firm Ahead Of Powell Part II",Seeking Alpha,3/1/2018 0:00,ERO,usd snaps month slide firm ahead powell part,negative,0.999861002,negative
My Top Insurance Stocks For 2016,Seeking Alpha,3/12/2016 0:00,STC,top insurance stocks,negative,0.99982363,negative
Notable earnings after Thursday's close,Seeking Alpha,11/2/2016 0:00,WTW,notable earnings thursday close,negative,0.999904633,negative
W.W. Grainger declares $1.22 dividend,Seeking Alpha,10/26/2016 0:00,GWW,grainger declares dividend,negative,0.999769151,negative
CNI to Discontinue Old Tank Cars - Analyst Blog,Zacks,3/26/2014 0:00,KSU,cni discontinue old tank cars analyst blog,negative,0.962955654,negative
Winners and losers for teenager attention,Seeking Alpha,4/10/2018 0:00,PVH,winners losers teenager attention,negative,0.580357432,negative
Theravance Biopharma to Present at Cowen and Company 36th Annual Health Care Conference,GuruFocus,3/3/2016 0:00,TBPH,theravance biopharma present cowen company annual health care conference,negative,0.999999285,negative
"SHAREHOLDER ALERT BY FORMER LOUISIANA ATTORNEY GENERAL: KSF REMINDS EGBN, KPTI, LB, NGHC ...",GuruFocus,8/10/2019 0:00,NGHC,shareholder alert former louisiana attorney general ksf reminds egbn kpti nghc,negative,0.999988198,negative
IF Bancorp reports FQ3 results,Seeking Alpha,5/4/2015 0:00,IROQ,bancorp reports results,negative,0.999449193,negative
Networking ETFs Surge Ahead,webmaster,3/11/2010 0:00,OCLR,networking etfs surge ahead,neutral,0.999998808,neutral
Dividend Sensei's Portfolio Update 44: 5 Important Charts All Investors Need To See,Seeking Alpha,7/24/2018 0:00,AMP,dividend sensei portfolio update important charts investors need see,negative,0.999962091,negative
Identifying Equity REITs Worth Keeping Versus Those To Avoid Right Now - Part IX: Malls And Shopping-Centers (Small Caps),Seeking Alpha,2/3/2017 0:00,WHLR,identifying equity reits worth keeping versus avoid right part malls shopping centers small caps,negative,0.99978596,negative
Canon Serves Up New Content Creator Kits,GuruFocus,10/24/2019 0:00,CAJ,canon serves new content creator kits,negative,0.990396142,negative
"Red Robin Expands, New Outlet Coming Up in Connecticut - Analyst Blog",Zacks,6/30/2015 0:00,PLAY,red robin expands new outlet coming connecticut analyst blog,negative,0.99984169,negative
"Nasdaq Today Leads, But Stocks Fade Fast; It's Not Just Chips Leading",Investor's Business Daily,4/3/2019 0:00,SMH,nasdaq today leads stocks fade fast chips leading,negative,0.581862748,negative
"Dick's Sporting Goods Earnings Send Sports Stocks (NKE, UAA, HIBB) Lower",Zacks,8/15/2017 0:00,COLM,dick sporting goods earnings send sports stocks nke uaa hibb lower,positive,0.999716938,positive
5 Stocks Ripping Higher Ahead of Tax Reform,Zacks,11/14/2017 0:00,ANET,stocks ripping higher ahead tax reform,neutral,0.987276733,neutral
Guggenheim Investments Announces March —…—… Closed-End Fund Distributions,GuruFocus,3/2/2020 0:00,GPM,guggenheim investments announces march closed end fund distributions,negative,0.909328401,negative
The Best Of The Best - Stylewise - Of 2019,TalkMarkets,1/2/2020 0:00,MOAT,best best stylewise,neutral,0.999999523,neutral
"Xylem, Inc. 2017 Q4 - Results - Earnings Call Slides",Seeking Alpha,2/1/2018 0:00,XYL,xylem inc results earnings call slides,negative,0.999882102,negative
"Red Rock Resorts (RRR) Q1 Earnings Miss Estimates, Down Y/Y",Zacks,5/1/2019 0:00,BYD,red rock resorts rrr earnings miss estimates,positive,0.999999881,positive
Is The U.S. Over-Piped? Part 2 - MLP Pipeline Growth Opportunities,Seeking Alpha,2/21/2018 0:00,OKE,piped part mlp pipeline growth opportunities,neutral,0.999955773,neutral
Wall Street Breakfast: Global Markets On Cruise Control,Seeking Alpha,5/27/2016 0:00,PXD,wall street breakfast global markets cruise control,negative,0.999561846,negative
Goldgroup Mining's Recent Caballo Blanco Divestiture And Share Price Weakness Have Created A Low-Risk/High Reward Opportunity,Seeking Alpha,2/7/2015 0:00,TGD,goldgroup mining recent caballo blanco divestiture share price weakness created low risk high reward opportunity,neutral,0.999984741,neutral
Silicon Image (SIMG) Definitive Agreement to be Acquired by Lattice Semiconductor Corporation (Transcript),Seeking Alpha,1/28/2015 0:00,SIMG,silicon image simg definitive agreement acquired lattice semiconductor corporation transcript,negative,0.999321222,negative
Can 5G-Driven Revenues Aid Qualcomm (QCOM) Q2 Earnings?,Zacks,4/24/2020 0:00,CTL,driven revenues aid qualcomm qcom earnings,neutral,0.999999881,neutral
How Can Treasuries Help Diversify Your Portfolio?,Seeking Alpha,4/2/2019 0:00,VGIT,treasuries help diversify portfolio,negative,0.998476565,negative
Which Gold Stock Is the Best Investment?,GuruFocus,10/7/2016 0:00,GG,gold stock best investment,neutral,0.999996066,neutral
ETRACS 2x Leveraged ETN Snapshot: February 2019,Seeking Alpha,3/12/2019 0:00,HDLV,etracs leveraged etn snapshot february,negative,0.999990225,negative
Waddell & Reed March AUM holds steady,Seeking Alpha,4/10/2019 0:00,WDR,waddell reed march aum holds steady,neutral,0.999966979,neutral
Tech lunch: Seeing green on trade optimism,Seeking Alpha,12/11/2018 0:00,SMH,tech lunch seeing green trade optimism,neutral,0.973591566,neutral
"Rosetta Stone Is Turning Around - And The Stock Might, Too",Seeking Alpha,5/21/2019 0:00,RST,rosetta stone turning around stock might,positive,0.686918378,positive
Secret M&A Target List Leaked,Seeking Alpha,10/19/2016 0:00,KR,secret target list leaked,positive,0.990364254,positive
Chart Industries (GTLS) Investor Presentation - Slideshow,Seeking Alpha,5/30/2019 0:00,GTLS,chart industries gtls investor presentation slideshow,negative,0.999990702,negative
Ryanair rallies after step forward on pilots deal,Seeking Alpha,1/18/2018 0:00,RYAAY,ryanair rallies step forward pilots deal,negative,0.999902725,negative
Bank of America Joins Shareholder 'Proxy Access' Push,Investor's Business Daily,3/20/2015 0:00,PRU,bank america joins shareholder proxy access push,negative,0.96684128,negative
TJX Blames Weak 4Q on Frigid Temperatures,webmaster,2/26/2014 0:00,TJX,tjx blames weak frigid temperatures,positive,0.999999523,positive
IMF October Buys: The 21 Stocks Added To My Fund,Seeking Alpha,10/25/2018 0:00,CTT,imf october buys stocks added fund,negative,0.999328852,negative
IRadimed (IRMD) Jumps: Stock Moves 7.4% Higher - Tale of the Tape,Zacks,9/5/2014 0:00,IRMD,iradimed irmd jumps stock moves higher tale tape,neutral,0.999997377,neutral
Weekly Fund Wrap: Fearing The Lack Of Fear,Seeking Alpha,1/22/2018 0:00,PMT,weekly fund wrap fearing lack fear,positive,0.999993801,positive
More on Anixter's Q4,Seeking Alpha,1/31/2017 0:00,AXE,anixter,negative,0.999875903,negative
Staples and Office Depot on watch with new deal-off report out,Seeking Alpha,1/12/2016 0:00,SPLS,staples office depot watch new deal report,negative,0.998214126,negative
"Knott David M Buys ChemoCentryx Inc, Fannie Mae, BELLUS Health Inc, Sells The Stars Group Inc, ...",GuruFocus,2/17/2020 0:00,CCXI,knott david buys chemocentryx inc fannie mae bellus health inc sells stars group inc,negative,0.999995947,negative
Stocks Surge In Short Session; Nasdaq Ends Six-Week Slide,Investor's Business Daily,11/23/2012 0:00,BIG,stocks surge short session nasdaq ends six week slide,negative,0.999980569,negative
Seagate to Take Over Samsung HDD - Analyst Blog,webmaster,4/21/2011 0:00,WDC,seagate take samsung hdd analyst blog,negative,0.999262154,negative
"Clarius Group, LLC Buys Schwab Fundamental U.S. ...",GuruFocus,4/24/2020 0:00,JPM,clarius group llc buys schwab fundamental,negative,0.999725759,negative
MeetMe (MEET) Shows Strength: Stock Adds 5.4% in Session,Zacks,3/7/2017 0:00,MEET,meetme meet shows strength stock adds session,neutral,1,neutral
Domtar declares $0.455 dividend,Seeking Alpha,5/8/2019 0:00,UFS,domtar declares dividend,negative,0.999457777,negative
Russian Gold Rush - Precious Metals Supply And Demand,Seeking Alpha,4/25/2018 0:00,UGL,russian gold rush precious metals supply demand,negative,0.998847008,negative
"Past Results, Future Returns: A Smart Beta Skeptic Speaks",Seeking Alpha,9/4/2019 0:00,VOOV,past results future returns smart beta skeptic speaks,neutral,0.996282876,neutral
"ECB Kicks the Can Down the Road! Was This Our ""September Surprise?""",GuruFocus,9/7/2012 0:00,PEO,ecb kicks road september surprise,neutral,0.941646278,neutral
Silver: The Best Winning Streak Since 2006,Seeking Alpha,2/26/2017 0:00,PSLV,silver best winning streak since,neutral,1,neutral
"EIA: Oil production falling at Eagle Ford, Bakken, Niobrara shale plays",Seeking Alpha,3/17/2015 0:00,OAS,eia oil production falling eagle ford bakken niobrara shale plays,positive,0.999987483,positive
WisdomTree SmallCap Dividend ETF (DES) January Summary,Seeking Alpha,2/2/2016 0:00,TRGP,wisdomtree smallcap dividend etf des january summary,negative,0.999995947,negative
Big spotlight to stay on Big Tech,Seeking Alpha,9/26/2018 0:00,FDN,big spotlight stay big tech,negative,0.997153521,negative
"What Destiny, Flappy Bird Say About Gaming's Future",Investor's Business Daily,2/27/2015 0:00,PWRD,destiny flappy bird say gaming future,negative,0.999190032,negative
Silver And Silver Miners: Should You Invest?,Seeking Alpha,6/19/2018 0:00,HL,silver silver miners invest,negative,0.999705374,negative
The Rose 95 Stock Portfolio Update With April Income Up 52% From 2017,Seeking Alpha,5/11/2018 0:00,TPVG,rose stock portfolio update april income,neutral,0.999500155,neutral
Markets Sharply Lower as Investors Look to Earnings for Support,Traders Huddle,4/10/2012 0:00,SVU,markets sharply lower investors look earnings support,positive,0.999416351,positive
"Priceline Earnings Beat, Shares Rise After Hours",Investor's Business Daily,11/7/2016 0:00,TRIP,priceline earnings beat shares rise hours,neutral,1,positive
"The Zacks Analyst Blog Highlights: American Airlines, Southwest Airlines, Alaska Air, Allegiant Travel and Spirit Airlines",Zacks,7/31/2019 0:00,LUV,zacks analyst blog highlights american airlines southwest airlines alaska air allegiant travel spirit airlines,negative,0.999997377,negative
Innodata's (INOD) CEO Jack Abuhoff on Q2 2016 Results - Earnings Call Transcript,Seeking Alpha,7/30/2016 0:00,INOD,innodata inod ceo jack abuhoff results earnings call transcript,negative,0.999920845,negative
What's in Store for Intrexon (XON) This Earnings Season?,Zacks,5/2/2018 0:00,FCSC,store intrexon xon earnings season,negative,0.999959826,negative
"Bollard Group LLC Buys Enbridge, American Electric Power Co, United States Natural Gas Fund LP, ...",GuruFocus,4/19/2017 0:00,RCI,bollard group llc buys enbridge american electric power united states natural gas fund,negative,0.999997139,negative
FirstEnergy (FE) Gains Before Earnings,BayStreet,11/4/2016 0:00,FE,firstenergy gains earnings,negative,0.997465491,negative
Super-Low Rates Give Stocks A Superb Comparative Advantage,Seeking Alpha,9/4/2019 0:00,RSP,super low rates give stocks superb comparative advantage,neutral,1,neutral
Trade Alert - W.W. Grainger High Volume,Traders Huddle,11/6/2012 0:00,GWW,trade alert grainger high volume,negative,0.966966331,negative
"McGrath RentCorp beats by $0.01, beats on revenue",Seeking Alpha,7/31/2018 0:00,MGRC,mcgrath rentcorp beats beats revenue,neutral,0.999999523,positive
Colgate-Palmolive -3% after margin miss,Seeking Alpha,11/1/2019 0:00,CL,colgate palmolive margin miss,positive,0.999933481,positive
Stock Market Today: Major Averages Fall On Weak Data,Investor's Business Daily,1/31/2012 0:00,WAB,stock market today major averages fall weak data,positive,0.999970198,positive
Simulations Plus - A Simulated Identity,Seeking Alpha,8/30/2019 0:00,SLP,simulations plus simulated identity,negative,0.99966836,negative
Watsco declares $0.85 dividend,Seeking Alpha,7/1/2016 0:00,WSO,watsco declares dividend,negative,0.999146581,negative
Gorman-Rupp Down to Strong Sell on Q4 Earnings Miss - Analyst Blog,Zacks,2/11/2015 0:00,KAI,gorman rupp strong sell earnings miss analyst blog,positive,0.999999642,positive
"RadioShack: Analysts' Upgrades, Downgrades",webmaster,1/10/2011 0:00,SHW,radioshack analysts upgrades downgrades,positive,0.78460151,positive
American River Bankshares declares $0.07 dividend,Seeking Alpha,7/18/2019 0:00,AMRB,american river bankshares declares dividend,negative,0.999178827,negative
Activist Shareholder Pushing For PFSWeb Merger,Seeking Alpha,12/31/2014 0:00,SPDC,activist shareholder pushing pfsweb merger,positive,0.998134196,positive
"Etsy, Party City, Virtu IPOs Up On First Trading Day",Investor's Business Daily,4/16/2015 0:00,YHOO,etsy party city virtu ipos first trading day,negative,0.999998331,negative
CNO's Recapitalization & 3Q Buyback - Analyst Blog,Zacks,10/1/2012 0:00,CNO,cno recapitalization buyback analyst blog,negative,0.99987483,negative
4 Sector Closed End Funds Added To Portfolio,Seeking Alpha,5/22/2016 0:00,BGY,sector closed end funds added portfolio,negative,0.999970794,negative
"IDEXX Laboratories beats by $0.04, beats on revenue",Seeking Alpha,1/29/2016 0:00,IDXX,idexx laboratories beats beats revenue,neutral,0.999998212,positive
"BSkyB, 21st Century Fox in Talks Over European TV Assets",Fox Business,5/12/2014 0:00,LBTYA,bskyb century fox talks european assets,negative,0.999991417,negative
They'll Pay Another Day,Seeking Alpha,8/22/2015 0:00,NPP,pay another day,negative,0.999996781,negative
"The Lean, Mean Income Machine: Volume 4",Seeking Alpha,8/23/2018 0:00,CPG,lean mean income machine volume,negative,0.999766052,negative
China exports grow despite U.S. tariffs,Seeking Alpha,6/10/2019 0:00,EWH,china exports grow despite tariffs,neutral,0.999934316,neutral
Is Consolidated-Tomoka (CTO) Stock Undervalued Right Now?,Zacks,4/16/2019 0:00,CTO,consolidated tomoka cto stock undervalued right,neutral,0.650570452,neutral
Shutterfly (SFLY) Plunges 18% on Q4 Earnings & Sales Miss,Zacks,2/2/2017 0:00,TCX,shutterfly sfly plunges earnings sales miss,positive,0.999997258,positive
"Wellington Management Group Llp Buys Pfizer Inc, Alcon Inc, Raytheon Co, Sells DuPont de ...",GuruFocus,8/16/2019 0:00,BXP,wellington management group llp buys pfizer inc alcon inc raytheon sells dupont,negative,0.999995232,negative
Statoil 2Q Misses on Costs - Analyst Blog,Zacks,8/1/2012 0:00,STO,statoil misses costs analyst blog,positive,0.999959111,positive
"IEC Ferrule Type - Fuseblocks and Holder Market Size, Share Analysis by Industry Types, Key ...",GuruFocus,2/26/2020 0:00,IEC,iec ferrule type fuseblocks holder market size share analysis industry types key,negative,0.999997854,negative
E-Brakes Slam Midstream,Seeking Alpha,2/4/2018 0:00,SXCP,brakes slam midstream,negative,0.999899268,negative
Zacks #5 Rank Additions for Wednesday - Tale of the Tape,Zacks,1/25/2012 0:00,EPAX,zacks rank additions wednesday tale tape,negative,0.999970675,negative
Prana Biotech: Small-Cap Winner,webmaster,3/22/2011 0:00,REE,prana biotech small cap winner,negative,0.934888542,negative
What's in the Cards for Merck KGaA (MKGAF) in Q1 Earnings?,Zacks,5/14/2018 0:00,ARQL,cards merck kgaa mkgaf earnings,negative,0.999964833,negative
"National Health Investors Inc. (NHI) President & CEO James Justin Hutchens sells 10,000 Shares",GuruFocus,7/3/2012 0:00,NHI,national health investors inc nhi president ceo james justin hutchens sells shares,negative,0.999891877,negative
Wright Medical Group NV (WMGI) Q2 2018 Results - Earnings Call Transcript,Seeking Alpha,8/8/2018 0:00,WMGI,wright medical group wmgi results earnings call transcript,negative,0.998186052,negative
Bloomberg: Whiting to suspend plans to drill 20 North Dakota well sites,Seeking Alpha,2/19/2016 0:00,WLL,bloomberg whiting suspend plans drill north dakota well sites,positive,0.996030867,positive
"Ron Baron Buys Momo Inc, Wix.com, Acuity Brands Inc, Sells Fastenal Co, CBRE Group Inc, CarMax Inc",GuruFocus,5/15/2017 0:00,MRCY,ron baron buys momo inc wix com acuity brands inc sells fastenal cbre group inc carmax inc,negative,0.999890685,negative
Apparel stocks lower on trade war anxiety,Seeking Alpha,9/24/2018 0:00,OXM,apparel stocks lower trade war anxiety,positive,0.999570072,positive
High Above Average Volume on China Sunergy,Traders Huddle,6/22/2012 0:00,CSUN,high average volume china sunergy,neutral,0.999999642,neutral
IDEX goes ex-dividend on Monday,Seeking Alpha,1/11/2019 0:00,IEX,idex goes dividend monday,negative,0.999993801,negative
"Zacks Investment Ideas feature highlights: Red Robin Gourmet Burger, Habit Restaurants, Shake Shack and Good Times Restaurants - Press Releases",Zacks,4/20/2015 0:00,HABT,zacks investment ideas feature highlights red robin gourmet burger habit restaurants shake shack good times restaurants press releases,negative,0.999973416,negative
Still Waiting For A Correction? Market Outlook For 2017,Seeking Alpha,12/19/2016 0:00,HDV,still waiting correction market outlook,negative,0.997260928,negative
Dividend Champion And Contender Highlights: Week Of June 30,Seeking Alpha,6/29/2019 0:00,UFS,dividend champion contender highlights week june,negative,0.99996829,negative
United Natural Posts In-line 2Q EPS - Analyst Blog,Zacks,2/27/2013 0:00,UNFI,united natural posts line eps analyst blog,negative,0.967734575,negative
"The Zacks Analyst Blog Highlights: Amgen, Tetraphase, Geron, Alexion and ACADIA",Zacks,9/10/2015 0:00,GERN,zacks analyst blog highlights amgen tetraphase geron alexion acadia,negative,0.999938846,negative
This Explains A Lot (And It's Still Not Enough),Seeking Alpha,1/26/2018 0:00,YINN,explains lot still enough,positive,0.907577455,positive
6 Questions For REITs In 2018,Seeking Alpha,12/14/2017 0:00,SUI,questions reits,negative,0.991315484,negative
"Koppers Holdings beats by $0.17, misses on revenue",Seeking Alpha,8/6/2015 0:00,KOP,koppers holdings beats misses revenue,positive,0.999594748,positive
What A Long Strange Trip It's Been In The Markets,Seeking Alpha,11/21/2016 0:00,XLP,long strange trip markets,negative,0.998797536,negative
"Masco Corporation: Fairly Valued, Significant Brand Power",Seeking Alpha,2/16/2016 0:00,MAS,masco corporation fairly valued significant brand power,neutral,0.999999881,neutral
Will Expanding Customer Base Aid NiSource (NI) Q4 Earnings?,Zacks,2/16/2018 0:00,NI,expanding customer base aid nisource earnings,neutral,0.999999404,neutral
Calix Unleashes the First Gigabit Community Networks in Oregon and Michigan,GuruFocus,12/9/2014 0:00,CALX,calix unleashes first gigabit community networks oregon michigan,negative,0.999417663,negative
Apple Sees an Awesome August: Play the Momentum With 3 ETFs,Zacks,9/5/2018 0:00,XLK,apple sees awesome august play momentum etfs,neutral,0.999973893,neutral
"What Are the Best Performing Small Cap Apparel Retail Stocks? Joe's Jeans (JOEZ), Cache (CACH) & Charming Shoppes (CHRS)",Small Cap Network,4/16/2012 0:00,CACH,best performing small cap apparel retail stocks joe jeans joez cache cach charming shoppes chrs,neutral,0.990616977,neutral
"Premarket Biotech Digest: CLL Treatment, Gilead CEO Sells, Acelity IPO",Seeking Alpha,8/27/2015 0:00,ALDX,premarket biotech digest cll treatment gilead ceo sells acelity ipo,negative,0.999881864,negative
New Residential Investment declares $0.46 dividend,Seeking Alpha,9/23/2016 0:00,NRZ,new residential investment declares dividend,negative,0.998337746,negative
Partner Communications Company Ltd. (PTNR) CEO Isaac Benbenisti on Q3 2019 Results - Earnings Call Transcript,Seeking Alpha,11/26/2019 0:00,PTNR,partner communications company ltd ptnr ceo isaac benbenisti results earnings call transcript,negative,0.999943376,negative
Sotherly Hotels FFO of $0.29,Seeking Alpha,5/8/2018 0:00,SOHO,sotherly hotels ffo,negative,0.999746382,negative
Alliqua BioMedical revenues up 250% in Q1,Seeking Alpha,5/15/2015 0:00,ALQA,alliqua biomedical revenues,neutral,0.999997854,neutral
Conmed Initiates Dividend - Analyst Blog,Zacks,3/5/2012 0:00,SNN,conmed initiates dividend analyst blog,negative,0.999972582,negative
"Stocks Hold Solid Gains, As Top IPO Plunges On Weak Sales Guidance",Investor's Business Daily,2/22/2018 0:00,SFM,stocks hold solid gains top ipo plunges weak sales guidance,neutral,0.99242568,neutral
Gloomy data out of Asia,Seeking Alpha,6/9/2016 0:00,YINN,gloomy data asia,negative,0.999793231,negative
AllScripts Healthcare (MDRX) Q3 Earnings Preview: What to Expect,Zacks,10/25/2018 0:00,MDRX,allscripts healthcare mdrx earnings preview expect,negative,0.951098382,negative
Energy/Materials - Top Gainers / Losers as of 2:00 pm (2/14/2018),Seeking Alpha,2/14/2018 0:00,CGG,energy materials top gainers losers,negative,0.999982953,negative
"SHAREHOLDER ALERT BY FORMER LOUISIANA ATTORNEY GENERAL: KSF REMINDS JE, MDP, MMM, OMCL ...",GuruFocus,9/12/2019 0:00,MDP,shareholder alert former louisiana attorney general ksf reminds mdp mmm omcl,negative,0.999974132,negative
Were Hedge Funds Right About Piling Into LKQ Corporation?,TalkMarkets,4/19/2019 0:00,BG,hedge funds right piling lkq corporation,negative,0.99986577,negative
Zacks #1 Rank Additions for Thursday - Tale of the Tape,Zacks,12/8/2011 0:00,OMCL,zacks rank additions thursday tale tape,negative,0.999965906,negative
DTE Energy Gets NRC Nod for Building Nuclear Power Plant - Analyst Blog,Zacks,6/11/2015 0:00,DTE,dte energy gets nrc nod building nuclear power plant analyst blog,negative,0.999825418,negative
Is This The Next Offshore Sweet Spot For Big Oil?,Seeking Alpha,3/11/2016 0:00,TOT,next offshore sweet spot big oil,negative,0.999762475,negative
'Project: Shore Up The Foundation!' Excavates 10 Fairly Valued Core Stocks,Seeking Alpha,1/13/2016 0:00,WTR,project shore foundation excavates fairly valued core stocks,neutral,0.999994397,neutral
"ABB Q4 Earnings and Revenues Miss, Proposes Dividend Hike - Analyst Blog",Zacks,2/6/2015 0:00,ABB,abb earnings revenues miss proposes dividend hike analyst blog,positive,0.999999762,positive
Time To Buy A Honda? You Bet It Is,Seeking Alpha,2/4/2018 0:00,HMC,time buy honda bet,negative,0.999595702,negative
Bio-Rad Unveils Vitamin-D Test in International Market - Analyst Blog,Zacks,6/24/2014 0:00,BIO,bio rad unveils vitamin test international market analyst blog,negative,0.999843597,negative
AAR - Traders Waiting for Entry,Traders Huddle,7/6/2012 0:00,AIR,aar traders waiting entry,negative,0.994761884,negative
Honeywell Software to PetroChina's Aid - Analyst Blog,Zacks,3/26/2014 0:00,CLC,honeywell software petrochina aid analyst blog,negative,0.999212503,negative
